Ref_Area,ln_Population,ln_GDP_Per_Capita_PPP,ln_Energy_Per_Capita,Renewable_%,Urban_%,Forest_%,Agri_VA_%
JOR,15.796225779065052,9.186039798430217,6.870086853544428,3.0210526315789474,83.00211668699974,1.1014038330107982,3.1984391951730426
JPN,18.663789573928824,10.631622387779876,8.228851499616136,4.873684210526315,87.72642531319413,68.40011551512526,1.151699573466231
KAZ,16.638381185937746,10.073880185246969,8.145992857428716,1.8210526315789475,55.340355857791884,1.179578980510505,5.7687026679663065
KEN,17.50270778561188,8.338106823934428,6.165043160621536,75.2578947368421,28.74849199372081,6.482456570671601,21.574826547951027
KGZ,15.518232369392123,8.464772729873685,6.338276696218142,26.521052631578947,35.22047784138855,6.385155644585917,22.318929788723317
KHM,16.47382043497299,8.15319048148455,5.774495118377044,70.1421052631579,23.569655839558163,56.90767260605626,25.90995542134047
KOR,17.714101482327518,10.523821188929116,8.452621547775147,1.5368421052631578,81.3379996588562,65.85150696156502,2.330557169229475
KWT,14.85731336721475,11.074586155577167,9.222668096299385,0.0,99.86613307970204,0.32798747711028414,0.3913438104855151
LBN,15.45632577461858,9.583313905182097,7.089978994424882,5.38421052631579,87.52273771108878,13.560194474455933,4.206929513395747
LBY,15.643075852887467,9.746824035591558,8.004772708384548,2.7823529411764705,87.99273737409811,0.1233276879184332,2.9922859002535214
LKA,16.839091464312798,9.158726271113858,6.133307198931827,57.478947368421046,16.818888849851415,34.04105760336199,11.260850138154511
LTU,14.960469201264244,10.209140885041625,7.8449249531943135,22.605263157894736,66.8857158554222,34.03893584883848,3.779669004751676
LUX,13.13252754853465,11.757678528126789,8.963911491154727,5.663157894736842,88.23990323917114,34.2289461213532,0.3518556381338054
LVA,14.571350215814993,10.115810366588349,7.627438631156349,36.86842105263158,67.90716117190293,53.69835229757264,3.7720670418619293
MAR,17.28126111924002,8.838384750273203,6.2140975615101635,14.24736842105263,57.65178946123306,12.622178261023386,11.430885321648386
MDA,14.866047882889417,9.13120588463038,7.104397997283928,13.852631578947367,39.592081571880136,11.240138223718887,14.169402149798534
MDG,16.881525122294306,7.409314839357557,5.569389966438665,84.47894736842106,27.544871949491565,21.78744120798397,28.564223221104672
MEX,18.53087206104763,9.936271560336305,7.380288110136204,9.921052631578947,76.56148398875662,34.53065611120061,3.1074909815169507
MKD,14.489592069236721,9.656240468831758,7.262148415056189,18.94736842105263,58.436398138478005,38.401931214531636,9.821094079093786
MLT,12.945699469602115,10.536641282643753,7.522054541349164,2.3684210526315788,94.03850693639214,1.1282894736842106,1.3886896362563548
MMR,17.70257573185118,8.08437264294042,5.8124562936844875,77.38947368421051,28.910000895598074,48.80760636611058,38.69037493261835
MNG,14.817798395755652,9.165696589720838,7.216909027110682,4.336842105263158,64.67925287585243,9.13322649499931,16.318658394576847
MOZ,16.934558681687548,7.044152437529973,5.9438327040174235,86.72105263157896,30.894546169091463,49.855641507186164,24.10793998119407
MUS,14.030070795299157,9.811375062061357,6.921881613583786,14.221052631578948,40.561869585567386,19.552715383679615,4.099873150546085
MYS,17.142091094974333,10.050102323824092,7.833747498644729,3.3473684210526318,69.44706320067544,58.72629015851148,9.073833308055857
NAM,14.565640204930792,9.219508109832177,6.525327995808392,32.373684210526314,40.26668762308605,9.012621823479735,8.58605953817139
NER,16.585892552533327,7.195503253400818,4.892938073735392,83.04736842105264,16.289751806702053,0.9602273624378306,36.64522337143357
NGA,18.901572821799306,8.879544129383717,5.730895296379565,83.82105263157894,50.80766832532017,25.71811520385007,24.409118368539918
NIC,15.548933947312701,8.677984389675926,6.308287419130749,53.03157894736842,56.70761719937919,36.71726817875668,16.39241246784086
NLD,16.622504430614445,11.016414289673016,8.443267428049865,4.031578947368421,86.10110070045255,10.881634470103075,1.872838944243405
NOR,15.39539069284698,11.334189504800083,8.674210105753703,57.573684210526324,79.05527739323043,33.18638621456909,1.4435754769070304
NPL,17.104356197335267,8.012222550006182,5.940338931841268,86.45263157894736,53.83711786674087,41.22467460943954,30.874964940451665
NZL,15.276050050276472,10.637874075916985,8.347896759890505,27.873684210526317,85.532668958414,37.404560164225074,5.827832110876231
OMN,14.923544740239764,10.652860329658631,8.555141453448783,0.0,74.51969092579382,0.009540005101606986,1.5224271299029186
PAK,19.07003594554581,8.347671555637403,6.066461592252853,47.189473684210526,34.71756395081466,5.382737227174411,22.46095958119954
PAN,15.084163936397237,9.987157289223502,6.816331750194872,23.24736842105263,64.56532057279357,58.414717844653595,4.388263652254576
PER,17.182081207108244,9.315036699030596,6.40265436876527,33.636842105263156,77.21721090743308,57.87895785361842,7.064994877652134
PHL,18.362425069650666,8.735501451678061,6.126901014470048,31.873684210526317,45.32854593530375,23.616527484321026,12.846815484279382
POL,17.455798722836327,10.151040170831058,7.8299105774908,9.368421052631579,60.99763835177644,30.314070511410616,2.905603837325895
PRT,16.161722539209944,10.494717737974291,7.726246318444417,24.321052631578947,59.34825149218976,35.82174705901917,2.211201440120773
ROU,16.84285506571112,10.077609531506743,7.455725637925531,20.126315789473683,53.40086109667155,28.689297927749703,7.262257494627393
